Schema,Class,Value
1,DocClasses,PurchaseSales-Assets
1,DocClasses,PurchaseSales-InventoryService
1,DocClasses,Other
1,DocClasses,MergerAcquisition
1,DocClasses,License
1,DocClasses,Leases
1,DocClasses,FinInstruments-Debt
1,DocClasses,FinInstruments-Equity
1,DocClasses,Employment-Compensation
1,DocClasses,Employment-Legal
1,Amendment,Amended
1,Amendment,Original
2,DocClasses,PurchaseSales-Assets (Test)
2,DocClasses,PurchaseSales-InventoryService (Test)
2,DocClasses,Other (Test)
2,DocClasses,MergerAcquisition (Test)
2,DocClasses,License (Test)
2,DocClasses,Leases (Test)
2,DocClasses,FinInstruments-Debt (Test)
2,DocClasses,FinInstruments-Equity (Test)
2,DocClasses,Employment-Compensation (Test)
2,DocClasses,Employment-Legal (Test)
2,Amendment,Amended (Test)
2,Amendment,Original (Test)
3,DocClasses,Hi
3,DocClasses,Na Du
