DocID,UserID,Timestamp,Schema,Class,Value
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,1,Amendment,Original
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,1,Amendment,Original
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,1,Amendment,Original
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,1,DocClasses,Other
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,1,DocClasses,Other
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,1,DocClasses,Other
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,2,Amendment,Original (Test)
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,2,Amendment,Original (Test)
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,2,Amendment,Original (Test)
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-1e66b642b4339e082dd036bf48a53232,matthiasuckert,2025-11-07T08:40:30Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,1,Amendment,Original
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,1,Amendment,Original
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,1,DocClasses,PurchaseSales-InventoryService
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,1,DocClasses,PurchaseSales-InventoryService
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,2,Amendment,Amended (Test)
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,2,Amendment,Amended (Test)
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-4332839ad3fdceb2b68732a56d04bc7e,matthiasuckert,2025-11-07T08:40:45Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-828dae4a24dc0756e04aaa1cea880368,matthiasuckert,2025-11-07T08:40:18Z,1,Amendment,Original
0000001750-828dae4a24dc0756e04aaa1cea880368,matthiasuckert,2025-11-07T08:40:18Z,1,DocClasses,Other
0000001750-828dae4a24dc0756e04aaa1cea880368,matthiasuckert,2025-11-07T08:40:18Z,2,Amendment,Original (Test)
0000001750-828dae4a24dc0756e04aaa1cea880368,matthiasuckert,2025-11-07T08:40:18Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-8f452cd44a90f9e02d4ee91b0df6588c,matthiasuckert,2025-11-07T08:24:16Z,1,Amendment,Amended
0000001750-8f452cd44a90f9e02d4ee91b0df6588c,matthiasuckert,2025-11-07T08:24:16Z,1,DocClasses,PurchaseSales-Assets
0000001750-8f452cd44a90f9e02d4ee91b0df6588c,matthiasuckert,2025-11-07T08:24:16Z,2,Amendment,Amended (Test)
0000001750-8f452cd44a90f9e02d4ee91b0df6588c,matthiasuckert,2025-11-07T08:24:16Z,2,DocClasses,PurchaseSales-InventoryService (Test)
0000001750-8f452cd44a90f9e02d4ee91b0df6588c,matthiasuckert,2025-11-07T08:24:16Z,999,DocumentNote,Test Note
